cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Contact with other hot metals (X18),no.,0,0,0,0,0,0,NA,X18,NA,NA,NA
Contact with other and unspecified heat and hot substances (X19),no.,2,0,2,4,0,4,2,X19,2,NA,2
Contact with venomous animals and plants (X20-X29),no.,5,5,10,5,5,10,1,X20-X29,1,1,1
Contact with venomous snakes and lizards (X20),no.,3,2,5,3,2,5,1,X20,1,1,1
Contact with venomous spiders (X21),no.,0,0,0,0,0,0,NA,X21,NA,NA,NA
Contact with scorpions (X22),no.,0,0,0,0,0,0,NA,X22,NA,NA,NA
"Contact with hornets, wasps and bees (X23)",no.,2,1,3,2,1,3,1,X23,1,1,1
Contact with centipedes and venomous millipedes (tropical) (X24),no.,0,0,0,0,0,0,NA,X24,NA,NA,NA
Contact with other specified venomous arthropods (X25),no.,0,2,2,0,2,2,1,X25,NA,1,1
Contact with venomous marine animals and plants (X26),no.,0,0,0,0,0,0,NA,X26,NA,NA,NA
Contact with other specified venomous animals (X27),no.,0,0,0,0,0,0,NA,X27,NA,NA,NA
Contact with other specified venomous plants (X28),no.,0,0,0,0,0,0,NA,X28,NA,NA,NA
Contact with unspecified venomous animal or plant (X29),no.,0,0,0,0,0,0,NA,X29,NA,NA,NA
Exposure to forces of nature (X30-X39),no.,39,20,59,55,27,82,1.4,X30-X39,1.4102564102564104,1.35,1.3898305084745763
Exposure to excessive natural heat (X30),no.,16,8,24,22,11,33,1.4,X30,1.375,1.375,1.375
Exposure to excessive natural cold (X31),no.,17,8,25,25,9,34,1.4,X31,1.4705882352941178,1.125,1.36
Exposure to sunlight (X32),no.,0,0,0,0,0,0,NA,X32,NA,NA,NA
Victim of lightning (X33),no.,0,1,1,0,1,1,1,X33,NA,1,1
Victim of earthquake (X34),no.,0,0,0,0,0,0,NA,X34,NA,NA,NA
Victim of volcanic eruption (X35),no.,0,0,0,0,0,0,NA,X35,NA,NA,NA
"Victim of avalanche, landslide and other earth movements (X36)",no.,1,1,2,1,1,2,1,X36,1,1,1
Victim of cataclysmic storm (X37),no.,2,2,4,4,4,8,2,X37,2,2,2
Victim of flood (X38),no.,1,0,1,1,1,2,2,X38,1,NA,2
Exposure to other and unspecified forces of nature (X39),no.,2,0,2,2,0,2,1,X39,1,NA,1
Accidental poisoning by and exposure to noxious substances (X40-X49),no.,1088,446,1534,1255,514,1769,1.2,X40-X49,1.1534926470588236,1.1524663677130045,1.1531942633637549
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X40)",no.,5,6,11,8,7,15,1.4,X40,1.6,1.1666666666666667,1.3636363636363635
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X41)",no.,236,94,330,264,101,365,1.1,X41,1.11864406779661,1.074468085106383,1.106060606060606
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X42)",no.,193,46,239,203,49,252,1.1,X42,1.0518134715025906,1.065217391304348,1.0543933054393306
Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system (X43),no.,1,1,2,1,2,3,1.5,X43,1,2,1.5
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X44)",no.,543,252,795,558,260,818,1,X44,1.0276243093922652,1.0317460317460319,1.0289308176100629
Accidental poisoning by and exposure to alcohol (X45),no.,99,43,142,210,90,300,2.1,X45,2.121212121212121,2.0930232558139537,2.112676056338028
Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X46),no.,2,0,2,2,0,2,1,X46,1,NA,1
Accidental poisoning by and exposure to other gases and vapours (X47),no.,8,2,10,8,2,10,1,X47,1,1,1
Accidental poisoning by and exposure to pesticides (X48),no.,0,0,0,0,0,0,NA,X48,NA,NA,NA
Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances (X49),no.,1,2,3,1,3,4,1.3,X49,1,1.5,1.3333333333333333
"Overexertion, travel and privation (X50-X57)",no.,2,0,2,7,1,8,4,X50-X57,3.5,NA,4
Overexertion and strenuous or repetitive movements (X50),no.,1,0,1,5,1,6,6,X50,5,NA,6
Travel and motion (X51),no.,0,0,0,0,0,0,NA,X51,NA,NA,NA
Prolonged stay in weightless environment (X52),no.,0,0,0,0,0,0,NA,X52,NA,NA,NA
Lack of food (X53),no.,1,0,1,2,0,2,2,X53,2,NA,2
Lack of water (X54),no.,0,0,0,0,0,0,NA,X54,NA,NA,NA
Unspecified privation (X57),no.,0,0,0,0,0,0,NA,X57,NA,NA,NA
Accidental exposure to other and unspecified factors (X58-X59),no.,536,624,1160,1053,1239,2292,2,X58-X59,1.9645522388059702,1.9855769230769231,1.9758620689655173
Exposure to other specified factors (X58),no.,2,2,4,2,2,4,1,X58,1,1,1
Exposure to unspecified factor (X59),no.,534,622,1156,1051,1237,2288,2,X59,1.9681647940074907,1.9887459807073955,1.9792387543252594
Other external causes of mortality (X60-Y36),no.,2949,967,3916,3275,1158,4433,1.1,X60-Y36,1.1105459477789081,1.1975180972078594,1.1320224719101124
Intentional self-harm (X60-X84),no.,2527,778,3305,2660,848,3508,1.1,X60-X84,1.0526315789473684,1.0899742930591259,1.0614220877458396
"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X60)",no.,8,3,11,10,4,14,1.3,X60,1.25,1.3333333333333333,1.2727272727272727
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X61)",no.,45,39,84,49,45,94,1.1,X61,1.0888888888888888,1.1538461538461537,1.119047619047619
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X62)",no.,24,9,33,27,10,37,1.1,X62,1.125,1.1111111111111112,1.121212121212121
Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system (X63),no.,2,4,6,2,4,6,1,X63,1,1,1
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X64)",no.,130,138,268,138,145,283,1.1,X64,1.0615384615384615,1.0507246376811594,1.0559701492537314
Intentional self-poisoning by and exposure to alcohol (X65),no.,3,6,9,39,43,82,9.1,X65,13,7.166666666666667,9.11111111111111
Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X66),no.,4,0,4,4,0,4,1,X66,1,NA,1
Intentional self-poisoning by and exposure to other gases and vapours (X67),no.,95,15,110,155,24,179,1.6,X67,1.631578947368421,1.6,1.6272727272727272
Intentional self-poisoning by and exposure to pesticides (X68),no.,11,4,15,11,4,15,1,X68,1,1,1
Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances (X69),no.,10,3,13,11,3,14,1.1,X69,1.1,1,1.0769230769230769
"Intentional self-harm by hanging, strangulation and suffocation (X70)",no.,1535,395,1930,1540,397,1937,1,X70,1.003257328990228,1.0050632911392405,1.0036269430051814
Intentional self-harm by drowning and submersion (X71),no.,35,21,56,37,26,63,1.1,X71,1.0571428571428572,1.2380952380952381,1.125
Intentional self-harm by handgun discharge (X72),no.,19,2,21,19,2,21,1,X72,1,1,1
"Intentional self-harm by rifle, shotgun and larger firearm discharge (X73)",no.,112,2,114,112,2,114,1,X73,1,1,1
Intentional self-harm by other and unspecified firearm discharge (X74),no.,27,0,27,28,0,28,1,X74,1.037037037037037,NA,1.037037037037037
Intentional self-harm by explosive material (X75),no.,5,0,5,5,0,5,1,X75,1,NA,1
"Intentional self-harm by smoke, fire and flames (X76)",no.,33,9,42,33,9,42,1,X76,1,1,1
"Intentional self-harm by steam, hot vapours and hot objects (X77)",no.,0,0,0,0,0,0,NA,X77,NA,NA,NA
Intentional self-harm by sharp object (X78),no.,103,23,126,109,23,132,1,X78,1.058252427184466,1,1.0476190476190477
Intentional self-harm by blunt object (X79),no.,0,0,0,0,0,0,NA,X79,NA,NA,NA
Intentional self-harm by jumping from a high place (X80),no.,138,39,177,140,39,179,1,X80,1.0144927536231885,1,1.0112994350282485
Intentional self-harm by jumping or lying before moving object (X81),no.,68,23,91,68,23,91,1,X81,1,1,1
Intentional self-harm by crashing of motor vehicle (X82),no.,43,8,51,44,8,52,1,X82,1.0232558139534884,1,1.0196078431372548
Intentional self-harm by other specified means (X83),no.,7,2,9,8,4,12,1.3,X83,1.1428571428571428,2,1.3333333333333333
Intentional self-harm by unspecified means (X84),no.,70,33,103,71,33,104,1,X84,1.0142857142857142,1,1.0097087378640777
Assault (X85-Y09),no.,167,100,267,345,214,559,2.1,X85-Y09,2.065868263473054,2.14,2.093632958801498
"Assault by drugs, medicaments and biological substances (X85)",no.,1,0,1,1,1,2,2,X85,1,NA,2
Assault by corrosive substance (X86),no.,0,0,0,0,0,0,NA,X86,NA,NA,NA
Assault by pesticides (X87),no.,0,0,0,0,0,0,NA,X87,NA,NA,NA
Assault by gases and vapours (X88),no.,1,0,1,1,0,1,1,X88,1,NA,1
Assault by other specified chemicals and noxious substances (X89),no.,0,0,0,0,0,0,NA,X89,NA,NA,NA
Assault by unspecified chemical or noxious substance (X90),no.,0,0,0,0,0,0,NA,X90,NA,NA,NA
"Assault by hanging, strangulation and suffocation (X91)",no.,9,7,16,9,7,16,1,X91,1,1,1
Assault by drowning and submersion (X92),no.,1,1,2,1,2,3,1.5,X92,1,2,1.5
Assault by handgun discharge (X93),no.,4,3,7,4,3,7,1,X93,1,1,1
"Assault by rifle, shotgun and larger firearm discharge (X94)",no.,4,4,8,4,4,8,1,X94,1,1,1
Assault by other and unspecified firearm discharge (X95),no.,10,0,10,10,0,10,1,X95,1,NA,1
Assault by explosive material (X96),no.,0,0,0,0,0,0,NA,X96,NA,NA,NA
"Assault by smoke, fire and flames (X97)",no.,5,2,7,5,3,8,1.1,X97,1,1.5,1.1428571428571428
"Assault by steam, hot vapours and hot objects (X98)",no.,0,0,0,0,1,1,NA,X98,NA,NA,NA
Assault by sharp object (X99),no.,65,32,97,66,34,100,1,X99,1.0153846153846153,1.0625,1.0309278350515463
Assault by blunt object (Y00),no.,7,6,13,10,6,16,1.2,Y00,1.4285714285714286,1,1.2307692307692308
Assault by pushing from high place (Y01),no.,1,0,1,1,0,1,1,Y01,1,NA,1
Assault by pushing or placing victim before moving object (Y02),no.,0,0,0,0,0,0,NA,Y02,NA,NA,NA
Assault by crashing of motor vehicle (Y03),no.,4,4,8,4,5,9,1.1,Y03,1,1.25,1.125
Assault by bodily force (Y04),no.,36,23,59,38,24,62,1.1,Y04,1.0555555555555556,1.0434782608695652,1.0508474576271187
Sexual assault by bodily force (Y05),no.,1,0,1,2,3,5,5,Y05,2,NA,5
Neglect and abandonment (Y06),no.,0,0,0,0,1,1,NA,Y06,NA,NA,NA
Other maltreatment (Y07),no.,0,0,0,169,102,271,NA,Y07,NA,NA,NA
Assault by other specified means (Y08),no.,0,0,0,0,0,0,NA,Y08,NA,NA,NA
Assault by unspecified means (Y09),no.,18,18,36,20,18,38,1.1,Y09,1.1111111111111112,1,1.0555555555555556
Event of undetermined intent (Y10-Y34),no.,242,88,330,255,95,350,1.1,Y10-Y34,1.0537190082644627,1.0795454545454546,1.0606060606060606
"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent (Y10)",no.,1,2,3,1,2,3,1,Y10,1,1,1
"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, (Y11)",no.,12,6,18,14,6,20,1.1,Y11,1.1666666666666667,1,1.1111111111111112
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent (Y12)",no.,7,4,11,8,5,13,1.2,Y12,1.1428571428571428,1.25,1.1818181818181819
"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent (Y13)",no.,0,0,0,0,0,0,NA,Y13,NA,NA,NA
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent (Y14)",no.,41,30,71,45,30,75,1.1,Y14,1.0975609756097562,1,1.056338028169014
"Poisoning by and exposure to alcohol, undetermined intent (Y15)",no.,0,0,0,5,4,9,NA,Y15,NA,NA,NA
"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent (Y16)",no.,0,1,1,0,1,1,1,Y16,NA,1,1
"Poisoning by and exposure to other gases and vapours, undetermined intent (Y17)",no.,7,3,10,7,3,10,1,Y17,1,1,1
"Poisoning by and exposure to pesticides, undetermined intent (Y18)",no.,0,0,0,0,0,0,NA,Y18,NA,NA,NA
"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent (Y19)",no.,1,1,2,1,1,2,1,Y19,1,1,1
"Hanging, strangulation and suffocation, undetermined intent (Y20)",no.,2,0,2,2,0,2,1,Y20,1,NA,1
"Drowning and submersion, undetermined intent (Y21)",no.,22,4,26,22,5,27,1,Y21,1,1.25,1.0384615384615385
"Handgun discharge, undetermined intent (Y22)",no.,0,0,0,0,0,0,NA,Y22,NA,NA,NA
"Rifle, shotgun and larger firearm discharge, undetermined intent (Y23)",no.,0,0,0,0,0,0,NA,Y23,NA,NA,NA
"Other and unspecified firearm discharge, undetermined intent (Y24)",no.,1,0,1,1,0,1,1,Y24,1,NA,1
"Contact with explosive material, undetermined intent (Y25)",no.,0,0,0,0,0,0,NA,Y25,NA,NA,NA
"Exposure to smoke, fire and flames, undetermined intent (Y26)",no.,11,4,15,12,4,16,1.1,Y26,1.0909090909090908,1,1.0666666666666667
"Contact with steam, hot vapours and hot objects, undetermined intent (Y27)",no.,0,0,0,0,0,0,NA,Y27,NA,NA,NA
"Contact with sharp object, undetermined intent (Y28)",no.,2,0,2,2,0,2,1,Y28,1,NA,1
"Contact with blunt object, undetermined intent (Y29)",no.,0,0,0,0,0,0,NA,Y29,NA,NA,NA
"Falling, jumping or pushed from a high place, undetermined intent (Y30)",no.,8,2,10,8,2,10,1,Y30,1,1,1
"Falling, lying or running before or into moving object, undetermined intent (Y31)",no.,5,2,7,5,2,7,1,Y31,1,1,1
"Crashing of motor vehicle, undetermined intent (Y32)",no.,24,4,28,24,4,28,1,Y32,1,1,1
"Other specified events, undetermined intent (Y33)",no.,9,1,10,9,2,11,1.1,Y33,1,2,1.1
"Unspecified event, undetermined intent (Y34)",no.,89,24,113,89,24,113,1,Y34,1,1,1
Legal intervention and operations of war (Y35-Y36),no.,13,1,14,15,1,16,1.1,Y35-Y36,1.1538461538461537,1,1.1428571428571428
Legal intervention (Y35),no.,13,1,14,15,1,16,1.1,Y35,1.1538461538461537,1,1.1428571428571428
Operations of war (Y36),no.,0,0,0,0,0,0,NA,Y36,NA,NA,NA
Complications of medical and surgical care (Y40-Y84),no.,34,34,68,3623,2790,6413,94.3,Y40-Y84,106.55882352941177,82.05882352941177,94.30882352941177
"Drugs, medicaments and biological substances causing adverse effects in therapeutic use (Y40-Y59)",no.,24,18,42,1208,913,2121,50.5,Y40-Y59,50.333333333333336,50.72222222222222,50.5
Systemic antibiotics (Y40),no.,4,1,5,17,14,31,6.2,Y40,4.25,14,6.2
Other systemic anti-infectives and antiparasitics (Y41),no.,0,0,0,2,1,3,NA,Y41,NA,NA,NA
"Hormones and their synthetic substitutes and antagonists, not elsewhere classified (Y42)",no.,0,1,1,32,40,72,72,Y42,NA,40,72
Primarily systemic agents (Y43),no.,0,1,1,409,269,678,678,Y43,NA,269,678
Agents primarily affecting blood constituents (Y44),no.,5,4,9,637,466,1103,122.6,Y44,127.4,116.5,122.55555555555556
"Analgesics, antipyretics and anti-inflammatory drugs (Y45)",no.,1,0,1,35,34,69,69,Y45,35,NA,69
Antiepileptics and antiparkinsonism drugs (Y46),no.,0,0,0,1,0,1,NA,Y46,NA,NA,NA
"Sedatives, hypnotics and antianxiety drugs (Y47)",no.,0,0,0,4,6,10,NA,Y47,NA,NA,NA
Anaesthetics and therapeutic gases (Y48),no.,1,1,2,7,4,11,5.5,Y48,7,4,5.5
"Psychotropic drugs, not elsewhere classified (Y49)",no.,3,3,6,18,17,35,5.8,Y49,6,5.666666666666667,5.833333333333333
"Central nervous system stimulants, not elsewhere classified (Y50)",no.,0,0,0,0,0,0,NA,Y50,NA,NA,NA
Drugs primarily affecting the autonomic nervous system (Y51),no.,0,0,0,2,5,7,NA,Y51,NA,NA,NA
Agents primarily affecting the cardiovascular system (Y52),no.,0,1,1,17,22,39,39,Y52,NA,22,39
Agents primarily affecting the gastrointestinal system (Y53),no.,0,0,0,2,0,2,NA,Y53,NA,NA,NA
Agents primarily affecting water-balance and mineral and uric acid metabolism (Y54),no.,0,0,0,0,4,4,NA,Y54,NA,NA,NA
Agents primarily acting on smooth and skeletal muscles and the respiratory system (Y55),no.,0,0,0,1,0,1,NA,Y55,NA,NA,NA
"Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs (Y56)",no.,0,0,0,0,4,4,NA,Y56,NA,NA,NA
Other and unspecified drugs and medicaments (Y57),no.,10,6,16,24,26,50,3.1,Y57,2.4,4.333333333333333,3.125
Bacterial vaccines (Y58),no.,0,0,0,0,0,0,NA,Y58,NA,NA,NA
Other and unspecified vaccines and biological substances (Y59),no.,0,0,0,0,1,1,NA,Y59,NA,NA,NA
Misadventures to patients during surgical and medical care (Y60-Y69),no.,4,6,10,32,38,70,7,Y60-Y69,8,6.333333333333333,7
"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care (Y60)",no.,2,6,8,16,25,41,5.1,Y60,8,4.166666666666667,5.125
Foreign object accidentally left in body during surgical and medical care (Y61),no.,1,0,1,1,0,1,1,Y61,1,NA,1
Failure of sterile precautions during surgical and medical care (Y62),no.,0,0,0,0,0,0,NA,Y62,NA,NA,NA
Failure in dosage during surgical and medical care (Y63),no.,0,0,0,0,0,0,NA,Y63,NA,NA,NA
Contaminated medical or biological substances (Y64),no.,0,0,0,0,0,0,NA,Y64,NA,NA,NA
Other misadventures during surgical and medical care (Y65),no.,1,0,1,14,12,26,26,Y65,14,NA,26
Nonadministration of surgical and medical care (Y66),no.,0,0,0,0,1,1,NA,Y66,NA,NA,NA
Unspecified misadventure during surgical and medical care (Y69),no.,0,0,0,1,0,1,NA,Y69,NA,NA,NA
Medical devices associated with adverse incidents in diagnostic and therapeutic use (Y70-Y82),no.,1,0,1,5,0,5,5,Y70-Y82,5,NA,5
Anaesthesiology devices associated with adverse incidents (Y70),no.,0,0,0,0,0,0,NA,Y70,NA,NA,NA
Cardiovascular devices associated with adverse incidents (Y71),no.,0,0,0,1,0,1,NA,Y71,NA,NA,NA
Otorhinolaryngological devices associated with adverse incidents (Y72),no.,0,0,0,0,0,0,NA,Y72,NA,NA,NA
Gastroenterology and urology devices associated with adverse incidents (Y73),no.,0,0,0,0,0,0,NA,Y73,NA,NA,NA
General hospital and personal-use devices associated with adverse incidents (Y74),no.,0,0,0,1,0,1,NA,Y74,NA,NA,NA
Neurological devices associated with adverse incidents (Y75),no.,0,0,0,0,0,0,NA,Y75,NA,NA,NA
Obstetric and gynaecological devices associated with adverse incidents (Y76),no.,0,0,0,0,0,0,NA,Y76,NA,NA,NA
Ophthalmic devices associated with adverse incidents (Y77),no.,0,0,0,0,0,0,NA,Y77,NA,NA,NA
Radiological devices associated with adverse incidents (Y78),no.,0,0,0,0,0,0,NA,Y78,NA,NA,NA
Orthopaedic devices associated with adverse incidents (Y79),no.,0,0,0,0,0,0,NA,Y79,NA,NA,NA
Physical medicine devices associated with adverse incidents (Y80),no.,0,0,0,0,0,0,NA,Y80,NA,NA,NA
General- and plastic-surgery devices associated with adverse incidents (Y81),no.,0,0,0,2,0,2,NA,Y81,NA,NA,NA
Other and unspecified medical devices associated with adverse incidents (Y82),no.,1,0,1,1,0,1,1,Y82,1,NA,1
"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y83-Y84)",no.,5,10,15,2378,1839,4217,281.1,Y83-Y84,475.6,183.9,281.1333333333333
"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y83)",no.,2,4,6,1872,1518,3390,565,Y83,936,379.5,565
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y84)",no.,3,6,9,506,321,827,91.9,Y84,168.66666666666666,53.5,91.88888888888889
